year,abbr,state,electoral_votes
1844,NJ,New Jersey,7
1848,NJ,New Jersey,7
1852,NJ,New Jersey,7
1856,NJ,New Jersey,7
1860,NJ,New Jersey,7
1864,NJ,New Jersey,7
1868,NJ,New Jersey,7
1872,NJ,New Jersey,9
1876,NJ,New Jersey,9
1880,NJ,New Jersey,9
1884,NJ,New Jersey,9
1888,NJ,New Jersey,9
1892,NJ,New Jersey,10
1896,NJ,New Jersey,10
1900,NJ,New Jersey,10
1904,NJ,New Jersey,12
1908,NJ,New Jersey,12
1912,NJ,New Jersey,14
1916,NJ,New Jersey,14
1920,NJ,New Jersey,14
1924,NJ,New Jersey,14
1928,NJ,New Jersey,14
1932,NJ,New Jersey,16
1936,NJ,New Jersey,16
1940,NJ,New Jersey,16
1944,NJ,New Jersey,16
1948,NJ,New Jersey,16
1952,NJ,New Jersey,16
1956,NJ,New Jersey,16
1960,NJ,New Jersey,16
1964,NJ,New Jersey,17
1968,NJ,New Jersey,17
1972,NJ,New Jersey,17
1976,NJ,New Jersey,17
1980,NJ,New Jersey,17
1984,NJ,New Jersey,16
1988,NJ,New Jersey,16
1992,NJ,New Jersey,15
1996,NJ,New Jersey,15
2000,NJ,New Jersey,15
2004,NJ,New Jersey,15
2008,NJ,New Jersey,15
2012,NJ,New Jersey,14
2016,NJ,New Jersey,14
2020,NJ,New Jersey,14
2024,NJ,New Jersey,14
1788,NM,New Mexico,
1792,NM,New Mexico,
1796,NM,New Mexico,
1800,NM,New Mexico,
1804,NM,New Mexico,
1808,NM,New Mexico,
1812,NM,New Mexico,
1816,NM,New Mexico,
1820,NM,New Mexico,
1824,NM,New Mexico,
1828,NM,New Mexico,
1832,NM,New Mexico,
1836,NM,New Mexico,
1840,NM,New Mexico,
1844,NM,New Mexico,
1848,NM,New Mexico,
1852,NM,New Mexico,
1856,NM,New Mexico,
1860,NM,New Mexico,
1864,NM,New Mexico,
1868,NM,New Mexico,
1872,NM,New Mexico,
1876,NM,New Mexico,
1880,NM,New Mexico,
1884,NM,New Mexico,
1888,NM,New Mexico,
1892,NM,New Mexico,
1896,NM,New Mexico,
1900,NM,New Mexico,
1904,NM,New Mexico,
1908,NM,New Mexico,
1912,NM,New Mexico,3
1916,NM,New Mexico,3
1920,NM,New Mexico,3
1924,NM,New Mexico,3
1928,NM,New Mexico,3
1932,NM,New Mexico,3
1936,NM,New Mexico,3
1940,NM,New Mexico,3
1944,NM,New Mexico,4
1948,NM,New Mexico,4
1952,NM,New Mexico,4
1956,NM,New Mexico,4
1960,NM,New Mexico,4
1964,NM,New Mexico,4
1968,NM,New Mexico,4
1972,NM,New Mexico,4
1976,NM,New Mexico,4
1980,NM,New Mexico,4
1984,NM,New Mexico,5
1988,NM,New Mexico,5
1992,NM,New Mexico,5
1996,NM,New Mexico,5
2000,NM,New Mexico,5
2004,NM,New Mexico,5
2008,NM,New Mexico,5
2012,NM,New Mexico,5
2016,NM,New Mexico,5
2020,NM,New Mexico,5
2024,NM,New Mexico,5
1788,NV,Nevada,
1792,NV,Nevada,
1796,NV,Nevada,
1800,NV,Nevada,
1804,NV,Nevada,
1808,NV,Nevada,
1812,NV,Nevada,
1816,NV,Nevada,
1820,NV,Nevada,
1824,NV,Nevada,
1828,NV,Nevada,
1832,NV,Nevada,
1836,NV,Nevada,
1840,NV,Nevada,
1844,NV,Nevada,
1848,NV,Nevada,
1852,NV,Nevada,
1856,NV,Nevada,
1860,NV,Nevada,
1864,NV,Nevada,3
1868,NV,Nevada,3
1872,NV,Nevada,3
1876,NV,Nevada,3
1880,NV,Nevada,3
1884,NV,Nevada,3
1888,NV,Nevada,3
1892,NV,Nevada,3
1896,NV,Nevada,3
1900,NV,Nevada,3
1904,NV,Nevada,3
1908,NV,Nevada,3
1912,NV,Nevada,3
1916,NV,Nevada,3
1920,NV,Nevada,3
1924,NV,Nevada,3
1928,NV,Nevada,3
1932,NV,Nevada,3
1936,NV,Nevada,3
1940,NV,Nevada,3
1944,NV,Nevada,3
1948,NV,Nevada,3
1952,NV,Nevada,3
1956,NV,Nevada,3
1960,NV,Nevada,3
1964,NV,Nevada,3
1968,NV,Nevada,3
1972,NV,Nevada,3
1976,NV,Nevada,3
1980,NV,Nevada,3
1984,NV,Nevada,4
1988,NV,Nevada,4
1992,NV,Nevada,4
1996,NV,Nevada,4
2000,NV,Nevada,4
2004,NV,Nevada,5
2008,NV,Nevada,5
2012,NV,Nevada,6
2016,NV,Nevada,6
2020,NV,Nevada,6
2024,NV,Nevada,6
1788,NY,New York,8
1792,NY,New York,12
1796,NY,New York,12
1800,NY,New York,12
1804,NY,New York,19
1808,NY,New York,19
1812,NY,New York,29
1816,NY,New York,29
1820,NY,New York,29
1824,NY,New York,36
1828,NY,New York,36
1832,NY,New York,42
1836,NY,New York,42
1840,NY,New York,42
1844,NY,New York,36
1848,NY,New York,36
1852,NY,New York,35
1856,NY,New York,35
1860,NY,New York,35
1864,NY,New York,33
1868,NY,New York,33
1872,NY,New York,35
1876,NY,New York,35
1880,NY,New York,35
1884,NY,New York,36
1888,NY,New York,36
1892,NY,New York,36
1896,NY,New York,36
1900,NY,New York,36
1904,NY,New York,39
1908,NY,New York,39
1912,NY,New York,45
1916,NY,New York,45
1920,NY,New York,45
1924,NY,New York,45
1928,NY,New York,45
1932,NY,New York,47
1936,NY,New York,47
1940,NY,New York,47
1944,NY,New York,47
1948,NY,New York,47
1952,NY,New York,45
1956,NY,New York,45
1960,NY,New York,45
1964,NY,New York,43
1968,NY,New York,43
1972,NY,New York,41
1976,NY,New York,41
1980,NY,New York,41
1984,NY,New York,36
1988,NY,New York,36
1992,NY,New York,33
1996,NY,New York,33
2000,NY,New York,33
2004,NY,New York,31
2008,NY,New York,31
2012,NY,New York,29
2016,NY,New York,29
2020,NY,New York,29
2024,NY,New York,28
1788,OH,Ohio,
1792,OH,Ohio,
1796,OH,Ohio,
1800,OH,Ohio,
1804,OH,Ohio,3
1808,OH,Ohio,3
1812,OH,Ohio,8
1816,OH,Ohio,8
1820,OH,Ohio,8
1824,OH,Ohio,16
1828,OH,Ohio,16
1832,OH,Ohio,21
1836,OH,Ohio,21
1840,OH,Ohio,21
1844,OH,Ohio,23
1848,OH,Ohio,23
1852,OH,Ohio,23
1856,OH,Ohio,23
1860,OH,Ohio,23
1864,OH,Ohio,21
1868,OH,Ohio,21
1872,OH,Ohio,22
1876,OH,Ohio,22
1880,OH,Ohio,22
1884,OH,Ohio,23
1888,OH,Ohio,23
1892,OH,Ohio,23
1896,OH,Ohio,23
1900,OH,Ohio,23
1904,OH,Ohio,23
1908,OH,Ohio,23
1912,OH,Ohio,24
1916,OH,Ohio,24
1920,OH,Ohio,24
1924,OH,Ohio,24
1928,OH,Ohio,24
1932,OH,Ohio,26
1936,OH,Ohio,26
1940,OH,Ohio,26
1944,OH,Ohio,25
1948,OH,Ohio,25
1952,OH,Ohio,25
1956,OH,Ohio,25
1960,OH,Ohio,25
1964,OH,Ohio,26
1968,OH,Ohio,26
1972,OH,Ohio,25
1976,OH,Ohio,25
1980,OH,Ohio,25
1984,OH,Ohio,23
1988,OH,Ohio,23
1992,OH,Ohio,21
1996,OH,Ohio,21
2000,OH,Ohio,21
2004,OH,Ohio,20
2008,OH,Ohio,20
2012,OH,Ohio,18
2016,OH,Ohio,18
2020,OH,Ohio,18
2024,OH,Ohio,17
1788,OK,Oklahoma,
1792,OK,Oklahoma,
1796,OK,Oklahoma,
1800,OK,Oklahoma,
1804,OK,Oklahoma,
1808,OK,Oklahoma,
1812,OK,Oklahoma,
1816,OK,Oklahoma,
1820,OK,Oklahoma,
1824,OK,Oklahoma,
1828,OK,Oklahoma,
1832,OK,Oklahoma,
1836,OK,Oklahoma,
1840,OK,Oklahoma,
1844,OK,Oklahoma,
1848,OK,Oklahoma,
1852,OK,Oklahoma,
1856,OK,Oklahoma,
1860,OK,Oklahoma,
1864,OK,Oklahoma,
1868,OK,Oklahoma,
1872,OK,Oklahoma,
1876,OK,Oklahoma,
1880,OK,Oklahoma,
1884,OK,Oklahoma,
1888,OK,Oklahoma,
1892,OK,Oklahoma,
1896,OK,Oklahoma,
1900,OK,Oklahoma,
1904,OK,Oklahoma,
1908,OK,Oklahoma,7
1912,OK,Oklahoma,10
1916,OK,Oklahoma,10
1920,OK,Oklahoma,10
1924,OK,Oklahoma,10
1928,OK,Oklahoma,10
1932,OK,Oklahoma,11
1936,OK,Oklahoma,11
1940,OK,Oklahoma,11
1944,OK,Oklahoma,10
1948,OK,Oklahoma,10
1952,OK,Oklahoma,8
1956,OK,Oklahoma,8
1960,OK,Oklahoma,8
1964,OK,Oklahoma,8
1968,OK,Oklahoma,8
1972,OK,Oklahoma,8
1976,OK,Oklahoma,8
1980,OK,Oklahoma,8
1984,OK,Oklahoma,8
1988,OK,Oklahoma,8
1992,OK,Oklahoma,8
1996,OK,Oklahoma,8
2000,OK,Oklahoma,8
2004,OK,Oklahoma,7
2008,OK,Oklahoma,7
2012,OK,Oklahoma,7
2016,OK,Oklahoma,7
2020,OK,Oklahoma,7
2024,OK,Oklahoma,7
1788,OR,Oregon,
1792,OR,Oregon,
1796,OR,Oregon,
1800,OR,Oregon,
1804,OR,Oregon,
1808,OR,Oregon,
1812,OR,Oregon,
1816,OR,Oregon,
1820,OR,Oregon,
1824,OR,Oregon,
1828,OR,Oregon,
1832,OR,Oregon,
1836,OR,Oregon,
1840,OR,Oregon,
1844,OR,Oregon,
1848,OR,Oregon,
1852,OR,Oregon,
1856,OR,Oregon,
1860,OR,Oregon,3
1864,OR,Oregon,3
1868,OR,Oregon,3
1872,OR,Oregon,3
1876,OR,Oregon,3
1880,OR,Oregon,3
1884,OR,Oregon,3
1888,OR,Oregon,3
1892,OR,Oregon,4
1896,OR,Oregon,4
1900,OR,Oregon,4
1904,OR,Oregon,4
1908,OR,Oregon,4
1912,OR,Oregon,5
1916,OR,Oregon,5
1920,OR,Oregon,5
1924,OR,Oregon,5
1928,OR,Oregon,5
1932,OR,Oregon,5
1936,OR,Oregon,5
1940,OR,Oregon,5
1944,OR,Oregon,6
1948,OR,Oregon,6
1952,OR,Oregon,6
1956,OR,Oregon,6
1960,OR,Oregon,6
1964,OR,Oregon,6
1968,OR,Oregon,6
1972,OR,Oregon,6
1976,OR,Oregon,6
1980,OR,Oregon,6
1984,OR,Oregon,7
1988,OR,Oregon,7
1992,OR,Oregon,7
1996,OR,Oregon,7
2000,OR,Oregon,7
2004,OR,Oregon,7
2008,OR,Oregon,7
2012,OR,Oregon,7
2016,OR,Oregon,7
2020,OR,Oregon,7
2024,OR,Oregon,8
1788,PA,Pennsylvania,10
1792,PA,Pennsylvania,15
1796,PA,Pennsylvania,15
1800,PA,Pennsylvania,15
1804,PA,Pennsylvania,20
1808,PA,Pennsylvania,20
1812,PA,Pennsylvania,25
1816,PA,Pennsylvania,25
1820,PA,Pennsylvania,25
1824,PA,Pennsylvania,28
1828,PA,Pennsylvania,28
1832,PA,Pennsylvania,30
1836,PA,Pennsylvania,30
1840,PA,Pennsylvania,30
1844,PA,Pennsylvania,26
1848,PA,Pennsylvania,26
1852,PA,Pennsylvania,27
1856,PA,Pennsylvania,27
1860,PA,Pennsylvania,27
1864,PA,Pennsylvania,26
1868,PA,Pennsylvania,26
1872,PA,Pennsylvania,29
1876,PA,Pennsylvania,29
1880,PA,Pennsylvania,29
1884,PA,Pennsylvania,30
1888,PA,Pennsylvania,30
1892,PA,Pennsylvania,32
1896,PA,Pennsylvania,32
1900,PA,Pennsylvania,32
1904,PA,Pennsylvania,34
1908,PA,Pennsylvania,34
1912,PA,Pennsylvania,38
1916,PA,Pennsylvania,38
1920,PA,Pennsylvania,38
1924,PA,Pennsylvania,38
1928,PA,Pennsylvania,38
1932,PA,Pennsylvania,36
1936,PA,Pennsylvania,36
1940,PA,Pennsylvania,36
1944,PA,Pennsylvania,35
1948,PA,Pennsylvania,35
1952,PA,Pennsylvania,32
1956,PA,Pennsylvania,32
1960,PA,Pennsylvania,32
1964,PA,Pennsylvania,29
1968,PA,Pennsylvania,29
1972,PA,Pennsylvania,27
1976,PA,Pennsylvania,27
1980,PA,Pennsylvania,27
1984,PA,Pennsylvania,25
1988,PA,Pennsylvania,25
1992,PA,Pennsylvania,23
1996,PA,Pennsylvania,23
2000,PA,Pennsylvania,23
2004,PA,Pennsylvania,21
2008,PA,Pennsylvania,21
2012,PA,Pennsylvania,20
2016,PA,Pennsylvania,20
2020,PA,Pennsylvania,20
2024,PA,Pennsylvania,19
1788,RI,Rhode Island,
1792,RI,Rhode Island,4
1796,RI,Rhode Island,4
1800,RI,Rhode Island,4
1804,RI,Rhode Island,4
1808,RI,Rhode Island,4
1812,RI,Rhode Island,4
1816,RI,Rhode Island,4
1820,RI,Rhode Island,4
1824,RI,Rhode Island,4
1828,RI,Rhode Island,4
1832,RI,Rhode Island,4
1836,RI,Rhode Island,4
1840,RI,Rhode Island,4
1844,RI,Rhode Island,4
1848,RI,Rhode Island,4
1852,RI,Rhode Island,4
1856,RI,Rhode Island,4
1860,RI,Rhode Island,4
1864,RI,Rhode Island,4
1868,RI,Rhode Island,4
1872,RI,Rhode Island,4
1876,RI,Rhode Island,4
1880,RI,Rhode Island,4
1884,RI,Rhode Island,4
1888,RI,Rhode Island,4
1892,RI,Rhode Island,4
1896,RI,Rhode Island,4
1900,RI,Rhode Island,4
1904,RI,Rhode Island,4
1908,RI,Rhode Island,4
1912,RI,Rhode Island,5
1916,RI,Rhode Island,5
1920,RI,Rhode Island,5
1924,RI,Rhode Island,5
1928,RI,Rhode Island,5
1932,RI,Rhode Island,4
1936,RI,Rhode Island,4
1940,RI,Rhode Island,4
1944,RI,Rhode Island,4
1948,RI,Rhode Island,4
1952,RI,Rhode Island,4
1956,RI,Rhode Island,4
1960,RI,Rhode Island,4
1964,RI,Rhode Island,4
1968,RI,Rhode Island,4
1972,RI,Rhode Island,4
1976,RI,Rhode Island,4
1980,RI,Rhode Island,4
1984,RI,Rhode Island,4
1988,RI,Rhode Island,4
1992,RI,Rhode Island,4
1996,RI,Rhode Island,4
2000,RI,Rhode Island,4
2004,RI,Rhode Island,4
2008,RI,Rhode Island,4
2012,RI,Rhode Island,4
2016,RI,Rhode Island,4
2020,RI,Rhode Island,4
2024,RI,Rhode Island,4
1788,SC,South Carolina,7
1792,SC,South Carolina,8
1796,SC,South Carolina,8
1800,SC,South Carolina,8
1804,SC,South Carolina,10
1808,SC,South Carolina,10
1812,SC,South Carolina,11
1816,SC,South Carolina,11
1820,SC,South Carolina,11
1824,SC,South Carolina,11
1828,SC,South Carolina,11
1832,SC,South Carolina,11
1836,SC,South Carolina,11
1840,SC,South Carolina,11
1844,SC,South Carolina,9
1848,SC,South Carolina,9
1852,SC,South Carolina,8
1856,SC,South Carolina,8
1860,SC,South Carolina,8
1864,SC,South Carolina,0
1868,SC,South Carolina,6
1872,SC,South Carolina,7
1876,SC,South Carolina,7
1880,SC,South Carolina,7
1884,SC,South Carolina,9
1888,SC,South Carolina,9
1892,SC,South Carolina,9
1896,SC,South Carolina,9
1900,SC,South Carolina,9
1904,SC,South Carolina,9
1908,SC,South Carolina,9
1912,SC,South Carolina,9
1916,SC,South Carolina,9
1920,SC,South Carolina,9
1924,SC,South Carolina,9
1928,SC,South Carolina,9
1932,SC,South Carolina,8
1936,SC,South Carolina,8
1940,SC,South Carolina,8
1944,SC,South Carolina,8
1948,SC,South Carolina,8
1952,SC,South Carolina,8
1956,SC,South Carolina,8
1960,SC,South Carolina,8
1964,SC,South Carolina,8
1968,SC,South Carolina,8
1972,SC,South Carolina,8
1976,SC,South Carolina,8
1980,SC,South Carolina,8
1984,SC,South Carolina,8
1988,SC,South Carolina,8
1992,SC,South Carolina,8
1996,SC,South Carolina,8
2000,SC,South Carolina,8
2004,SC,South Carolina,8
2008,SC,South Carolina,8
2012,SC,South Carolina,9
2016,SC,South Carolina,9
2020,SC,South Carolina,9
2024,SC,South Carolina,9
1788,SD,South Dakota,
1792,SD,South Dakota,
1796,SD,South Dakota,
1800,SD,South Dakota,
1804,SD,South Dakota,
1808,SD,South Dakota,
1812,SD,South Dakota,
1816,SD,South Dakota,
1820,SD,South Dakota,
1824,SD,South Dakota,
1828,SD,South Dakota,
1832,SD,South Dakota,
1836,SD,South Dakota,
1840,SD,South Dakota,
1844,SD,South Dakota,
1848,SD,South Dakota,
1852,SD,South Dakota,
1856,SD,South Dakota,
1860,SD,South Dakota,
1864,SD,South Dakota,
1868,SD,South Dakota,
1872,SD,South Dakota,
1876,SD,South Dakota,
1880,SD,South Dakota,
1884,SD,South Dakota,
1888,SD,South Dakota,
1892,SD,South Dakota,4
1896,SD,South Dakota,4
1900,SD,South Dakota,4
1904,SD,South Dakota,4
1908,SD,South Dakota,4
1912,SD,South Dakota,5
1916,SD,South Dakota,5
1920,SD,South Dakota,5
1924,SD,South Dakota,5
1928,SD,South Dakota,5
1932,SD,South Dakota,4
1936,SD,South Dakota,4
1940,SD,South Dakota,4
1944,SD,South Dakota,4
1948,SD,South Dakota,4
1952,SD,South Dakota,4
1956,SD,South Dakota,4
1960,SD,South Dakota,4
1964,SD,South Dakota,4
1968,SD,South Dakota,4
1972,SD,South Dakota,4
1976,SD,South Dakota,4
1980,SD,South Dakota,4
1984,SD,South Dakota,3
1988,SD,South Dakota,3
1992,SD,South Dakota,3
1996,SD,South Dakota,3
2000,SD,South Dakota,3
2004,SD,South Dakota,3
2008,SD,South Dakota,3
2012,SD,South Dakota,3
2016,SD,South Dakota,3
2020,SD,South Dakota,3
2024,SD,South Dakota,3
1788,TN,Tennessee,
1792,TN,Tennessee,
1796,TN,Tennessee,3
1800,TN,Tennessee,3
1804,TN,Tennessee,5
1808,TN,Tennessee,5
1812,TN,Tennessee,8
1816,TN,Tennessee,8
1820,TN,Tennessee,8
1824,TN,Tennessee,11
1828,TN,Tennessee,11
1832,TN,Tennessee,15
1836,TN,Tennessee,15
1840,TN,Tennessee,15
1844,TN,Tennessee,13
1848,TN,Tennessee,13
1852,TN,Tennessee,12
1856,TN,Tennessee,12
1860,TN,Tennessee,12
1864,TN,Tennessee,0
1868,TN,Tennessee,10
1872,TN,Tennessee,12
1876,TN,Tennessee,12
1880,TN,Tennessee,12
1884,TN,Tennessee,12
1888,TN,Tennessee,12
1892,TN,Tennessee,12
1896,TN,Tennessee,12
1900,TN,Tennessee,12
1904,TN,Tennessee,12
1908,TN,Tennessee,12
1912,TN,Tennessee,12
1916,TN,Tennessee,12
1920,TN,Tennessee,12
1924,TN,Tennessee,12
1928,TN,Tennessee,12
1932,TN,Tennessee,11
1936,TN,Tennessee,11
1940,TN,Tennessee,11
1944,TN,Tennessee,12
1948,TN,Tennessee,12
1952,TN,Tennessee,11
1956,TN,Tennessee,11
1960,TN,Tennessee,11
1964,TN,Tennessee,11
1968,TN,Tennessee,11
1972,TN,Tennessee,10
1976,TN,Tennessee,10
1980,TN,Tennessee,10
1984,TN,Tennessee,11
1988,TN,Tennessee,11
1992,TN,Tennessee,11
1996,TN,Tennessee,11
2000,TN,Tennessee,11
2004,TN,Tennessee,11
2008,TN,Tennessee,11
2012,TN,Tennessee,11
2016,TN,Tennessee,11
2020,TN,Tennessee,11
2024,TN,Tennessee,11
1788,TX,Texas,
1792,TX,Texas,
1796,TX,Texas,
1800,TX,Texas,
1804,TX,Texas,
1808,TX,Texas,
1812,TX,Texas,
1816,TX,Texas,
1820,TX,Texas,
1824,TX,Texas,
1828,TX,Texas,
1832,TX,Texas,
1836,TX,Texas,
1840,TX,Texas,
1844,TX,Texas,
1848,TX,Texas,4
1852,TX,Texas,4
1856,TX,Texas,4
1860,TX,Texas,4
1864,TX,Texas,0
1868,TX,Texas,0
1872,TX,Texas,8
1876,TX,Texas,8
1880,TX,Texas,8
1884,TX,Texas,13
1888,TX,Texas,13
1892,TX,Texas,15
1896,TX,Texas,15
1900,TX,Texas,15
1904,TX,Texas,18
1908,TX,Texas,18
1912,TX,Texas,20
1916,TX,Texas,20
1920,TX,Texas,20
1924,TX,Texas,20
1928,TX,Texas,20
1932,TX,Texas,23
1936,TX,Texas,23
1940,TX,Texas,23
1944,TX,Texas,23
1948,TX,Texas,23
1952,TX,Texas,24
1956,TX,Texas,24
1960,TX,Texas,24
1964,TX,Texas,25
1968,TX,Texas,25
1972,TX,Texas,26
1976,TX,Texas,26
1980,TX,Texas,26
1984,TX,Texas,29
1988,TX,Texas,29
1992,TX,Texas,32
1996,TX,Texas,32
2000,TX,Texas,32
2004,TX,Texas,34
2008,TX,Texas,34
2012,TX,Texas,38
2016,TX,Texas,38
2020,TX,Texas,38
2024,TX,Texas,40
1788,UT,Utah,
1792,UT,Utah,
1796,UT,Utah,
1800,UT,Utah,
1804,UT,Utah,
1808,UT,Utah,
1812,UT,Utah,
1816,UT,Utah,
1820,UT,Utah,
1824,UT,Utah,
1828,UT,Utah,
1832,UT,Utah,
1836,UT,Utah,
1840,UT,Utah,
1844,UT,Utah,
1848,UT,Utah,
1852,UT,Utah,
1856,UT,Utah,
1860,UT,Utah,
1864,UT,Utah,
1868,UT,Utah,
1872,UT,Utah,
1876,UT,Utah,
1880,UT,Utah,
1884,UT,Utah,
1888,UT,Utah,
1892,UT,Utah,
1896,UT,Utah,3
1900,UT,Utah,3
1904,UT,Utah,3
1908,UT,Utah,3
1912,UT,Utah,4
1916,UT,Utah,4
1920,UT,Utah,4
1924,UT,Utah,4
1928,UT,Utah,4
1932,UT,Utah,4
1936,UT,Utah,4
1940,UT,Utah,4
1944,UT,Utah,4
1948,UT,Utah,4
1952,UT,Utah,4
1956,UT,Utah,4
1960,UT,Utah,4
1964,UT,Utah,4
1968,UT,Utah,4
1972,UT,Utah,4
1976,UT,Utah,4
1980,UT,Utah,4
1984,UT,Utah,5
1988,UT,Utah,5
1992,UT,Utah,5
1996,UT,Utah,5
2000,UT,Utah,5
2004,UT,Utah,5
2008,UT,Utah,5
2012,UT,Utah,6
2016,UT,Utah,6
2020,UT,Utah,6
2024,UT,Utah,6
1788,VA,Virginia,12
1792,VA,Virginia,21
1796,VA,Virginia,21
1800,VA,Virginia,21
1804,VA,Virginia,24
1808,VA,Virginia,24
1812,VA,Virginia,25
1816,VA,Virginia,25
1820,VA,Virginia,25
1824,VA,Virginia,24
1828,VA,Virginia,24
1832,VA,Virginia,23
1836,VA,Virginia,23
1840,VA,Virginia,23
1844,VA,Virginia,17
1848,VA,Virginia,17
1852,VA,Virginia,15
1856,VA,Virginia,15
1860,VA,Virginia,15
1864,VA,Virginia,0
1868,VA,Virginia,0
1872,VA,Virginia,11
1876,VA,Virginia,11
1880,VA,Virginia,11
1884,VA,Virginia,12
1888,VA,Virginia,12
1892,VA,Virginia,12
1896,VA,Virginia,12
1900,VA,Virginia,12
1904,VA,Virginia,12
1908,VA,Virginia,12
1912,VA,Virginia,12
1916,VA,Virginia,12
1920,VA,Virginia,12
1924,VA,Virginia,12
1928,VA,Virginia,12
1932,VA,Virginia,11
1936,VA,Virginia,11
1940,VA,Virginia,11
1944,VA,Virginia,11
1948,VA,Virginia,11
1952,VA,Virginia,12
1956,VA,Virginia,12
1960,VA,Virginia,12
1964,VA,Virginia,12
1968,VA,Virginia,12
1972,VA,Virginia,12
1976,VA,Virginia,12
1980,VA,Virginia,12
1984,VA,Virginia,12
1988,VA,Virginia,12
1992,VA,Virginia,13
1996,VA,Virginia,13
2000,VA,Virginia,13
2004,VA,Virginia,13
2008,VA,Virginia,13
2012,VA,Virginia,13
2016,VA,Virginia,13
2020,VA,Virginia,13
2024,VA,Virginia,13
1788,VT,Vermont,
1792,VT,Vermont,4
1796,VT,Vermont,4
1800,VT,Vermont,4
1804,VT,Vermont,6
1808,VT,Vermont,6
1812,VT,Vermont,8
1816,VT,Vermont,8
1820,VT,Vermont,8
1824,VT,Vermont,7
1828,VT,Vermont,7
1832,VT,Vermont,7
1836,VT,Vermont,7
1840,VT,Vermont,7
1844,VT,Vermont,6
1848,VT,Vermont,6
1852,VT,Vermont,5
1856,VT,Vermont,5
1860,VT,Vermont,5
1864,VT,Vermont,5
1868,VT,Vermont,5
1872,VT,Vermont,5
1876,VT,Vermont,5
1880,VT,Vermont,5
1884,VT,Vermont,4
1888,VT,Vermont,4
1892,VT,Vermont,4
1896,VT,Vermont,4
1900,VT,Vermont,4
1904,VT,Vermont,4
1908,VT,Vermont,4
1912,VT,Vermont,4
1916,VT,Vermont,4
1920,VT,Vermont,4
1924,VT,Vermont,4
1928,VT,Vermont,4
1932,VT,Vermont,3
1936,VT,Vermont,3
1940,VT,Vermont,3
1944,VT,Vermont,3
1948,VT,Vermont,3
1952,VT,Vermont,3
1956,VT,Vermont,3
1960,VT,Vermont,3
1964,VT,Vermont,3
1968,VT,Vermont,3
1972,VT,Vermont,3
1976,VT,Vermont,3
1980,VT,Vermont,3
1984,VT,Vermont,3
1988,VT,Vermont,3
1992,VT,Vermont,3
1996,VT,Vermont,3
2000,VT,Vermont,3
2004,VT,Vermont,3
2008,VT,Vermont,3
2012,VT,Vermont,3
2016,VT,Vermont,3
2020,VT,Vermont,3
2024,VT,Vermont,3
1788,WA,Washington,
1792,WA,Washington,
1796,WA,Washington,
1800,WA,Washington,
1804,WA,Washington,
1808,WA,Washington,
1812,WA,Washington,
1816,WA,Washington,
1820,WA,Washington,
1824,WA,Washington,
1828,WA,Washington,
1832,WA,Washington,
1836,WA,Washington,
1840,WA,Washington,
1844,WA,Washington,
1848,WA,Washington,
1852,WA,Washington,
1856,WA,Washington,
1860,WA,Washington,
1864,WA,Washington,
1868,WA,Washington,
1872,WA,Washington,
1876,WA,Washington,
1880,WA,Washington,
1884,WA,Washington,
1888,WA,Washington,
1892,WA,Washington,4
1896,WA,Washington,4
1900,WA,Washington,4
1904,WA,Washington,5
1908,WA,Washington,5
1912,WA,Washington,7
1916,WA,Washington,7
1920,WA,Washington,7
1924,WA,Washington,7
1928,WA,Washington,7
1932,WA,Washington,8
1936,WA,Washington,8
1940,WA,Washington,8
1944,WA,Washington,8
1948,WA,Washington,8
1952,WA,Washington,9
1956,WA,Washington,9
1960,WA,Washington,9
1964,WA,Washington,9
1968,WA,Washington,9
1972,WA,Washington,9
1976,WA,Washington,9
1980,WA,Washington,9
1984,WA,Washington,10
1988,WA,Washington,10
1992,WA,Washington,11
1996,WA,Washington,11
2000,WA,Washington,11
2004,WA,Washington,11
2008,WA,Washington,11
2012,WA,Washington,12
2016,WA,Washington,12
2020,WA,Washington,12
2024,WA,Washington,12
1788,WI,Wisconsin,
1792,WI,Wisconsin,
1796,WI,Wisconsin,
1800,WI,Wisconsin,
1804,WI,Wisconsin,
1808,WI,Wisconsin,
1812,WI,Wisconsin,
1816,WI,Wisconsin,
1820,WI,Wisconsin,
1824,WI,Wisconsin,
1828,WI,Wisconsin,
1832,WI,Wisconsin,
1836,WI,Wisconsin,
1840,WI,Wisconsin,
1844,WI,Wisconsin,
1848,WI,Wisconsin,4
1852,WI,Wisconsin,5
1856,WI,Wisconsin,5
1860,WI,Wisconsin,5
1864,WI,Wisconsin,8
1868,WI,Wisconsin,8
1872,WI,Wisconsin,10
1876,WI,Wisconsin,10
1880,WI,Wisconsin,10
1884,WI,Wisconsin,11
1888,WI,Wisconsin,11
1892,WI,Wisconsin,12
1896,WI,Wisconsin,12
1900,WI,Wisconsin,12
1904,WI,Wisconsin,13
1908,WI,Wisconsin,13
1912,WI,Wisconsin,13
1916,WI,Wisconsin,13
1920,WI,Wisconsin,13
1924,WI,Wisconsin,13
1928,WI,Wisconsin,13
1932,WI,Wisconsin,12
1936,WI,Wisconsin,12
1940,WI,Wisconsin,12
1944,WI,Wisconsin,12
1948,WI,Wisconsin,12
1952,WI,Wisconsin,12
1956,WI,Wisconsin,12
1960,WI,Wisconsin,12
